,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,전체-평일,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
1013958,1160061700,특별광역시도,안양천로,서울특별시 구로구,0.1930,5,67,66,68,65,64,65,55,47,48,50,52,54,55,55,54,53,51,48,48,54,59,61,62,64
1013959,1160052000,특별광역시도,경인로,서울특별시 구로구,0.1360,1,24,23,23,24,22,24,21,21,21,21,21,22,22,22,22,22,22,21,21,22,21,21,22,23
1013960,"1160007504,1160007504,1160007503,1160007502,1160007502",특별광역시도,오리로,서울특별시 구로구,0.3450,5,36,36,37,37,34,36,35,30,30,31,31,32,32,32,31,31,32,33,33,33,31,32,33,34
1013961,"1160007602,1160007602,1160007603,1160007604,1160007604",특별광역시도,오리로,서울특별시 구로구,0.3450,5,41,41,42,43,40,41,37,34,31,32,30,31,31,31,29,27,24,18,13,21,32,35,37,39
1013962,"1160007605,1160007605,1160007606",특별광역시도,오리로,서울특별시 구로구,0.3220,4,37,37,39,39,34,34,32,32,31,31,32,33,33,33,33,33,32,33,33,34,31,31,32,34
1013963,"1160007506,1160007505,1160007505",특별광역시도,오리로,서울특별시 구로구,0.3220,4,33,35,36,36,29,33,21,13,11,13,15,17,20,20,18,16,13,11,11,18,26,26,28,30
1013964,"1160005003,1160005003,1160005003,1160007601,1160007602",특별광역시도,오리로,서울특별시 구로구,0.4440,6,34,35,35,35,32,35,32,30,30,29,28,29,30,29,29,28,26,24,19,25,28,31,31,32
1013965,"1160018403,1160018403,1160018403",특별광역시도,금오로,서울특별시 구로구,0.4830,5,39,38,37,36,40,39,38,36,37,35,35,34,34,34,34,34,34,35,35,35,35,35,34,35
1013966,"1160018304,1160018304,1160018304",특별광역시도,금오로,서울특별시 구로구,0.4830,5,32,30,32,28,29,30,30,31,30,29,29,30,29,28,28,27,24,19,20,24,28,29,29,31
1013967,1160009601,특별광역시도,남부순환로,서울특별시 구로구,0.8830,4,77,79,79,79,75,77,72,71,73,63,61,58,58,50,43,30,18,16,18,24,51,60,67,72
1013968,1160009501,특별광역시도,남부순환로,서울특별시 구로구,0.8830,4,77,77,78,77,67,74,56,38,25,50,63,64,65,64,64,66,67,68,70,70,69,70,72,74
1013985,1160002001,연결로,서부간선도로,서울특별시 구로구,0.0350,1,33,33,33,34,32,33,30,30,31,28,27,27,28,28,27,26,26,22,23,25,28,28,30,30
1013986,1160001203,연결로,서부간선도로,서울특별시 구로구,0.0090,2,48,48,50,48,45,51,46,35,32,38,37,38,40,36,38,38,36,35,34,34,37,41,42,47
1014014,1150088100,일반국도,개화동로,서울특별시 강서구,0.5000,2,67,69,69,68,58,67,44,26,22,40,45,45,47,44,40,31,27,13,8,29,48,52,56,61
