LINK ID,avg_congestion_score,max_volume,total_volume
5103274,0.731778034,2170,38111
8898379,0.731687898,1099,19299
1018399,0.731672932,1064,18684
8902787,0.731626506,1660,29148
1095259,0.731619521,1308,22967
5104295,0.731553398,2060,36168
1035681,0.731537672,5685,99811
1013670,0.731509936,1627,28564
8901852,0.731504702,1595,28002
1014394,0.731495793,1941,34076
1018158,0.731432822,5994,105221
1037028,0.731370322,1541,27049
8904647,0.731334734,5237,91920
1017763,0.73120915,1581,27745
8893889,0.73107169,1367,23985
1017932,0.730899769,1154,20243
1064536,0.73089172,471,8262
1094916,0.73087484,1305,22891
1017943,0.730824316,1571,27555
1016970,0.730684885,988,17326
1036067,0.730656629,1594,27952
8571942,0.730636605,1885,33054
1097828,0.730611484,447,7838
1018050,0.730581885,1899,33297
8903170,0.73052124,1538,26965
1065031,0.730508103,761,13342
1018357,0.73050428,2492,43690
8901835,0.730394858,1815,31816
8102769,0.730334842,3977,69709
8107225,0.730255991,306,5363
1064385,0.730223677,611,10708
1090574,0.730220734,672,11777
1085396,0.730181748,1724,30212
8901624,0.730167921,1727,30264
1013679,0.730163124,2258,39569
1065172,0.730149051,615,10777
1013690,0.730128729,2447,42879
1036098,0.729987212,1955,34251
1089643,0.729984357,1172,20533
8899656,0.729976982,3548,62159
1093367,0.729969291,1194,20918
1013722,0.729889718,3083,54006
1091587,0.729885985,6198,108572
1017939,0.729830918,5865,102731
1017211,0.729812106,1162,20353
1018329,0.729783037,1014,17760
8901787,0.729699584,1681,29439
8901582,0.729684418,845,14798
1017241,0.729663136,1133,19841
1092254,0.729569493,6051,105951
1065744,0.729485544,392,6863
8901614,0.729420199,2383,41717
1017929,0.72938698,3026,52971
1065307,0.729324895,395,6914
1092253,0.729315933,5862,102606
8902069,0.729294841,2113,36984
1036841,0.729246744,3122,54641
1064558,0.729065464,1441,25214
8639900,0.728997998,3829,66992
1094467,0.728974654,1302,22779
8903302,0.728950154,3464,60602
1064922,0.72891791,1340,23442
1036463,0.728882834,367,6420
1037278,0.728840481,1469,25696
8903051,0.728703349,2608,45611
1036850,0.728640416,2692,47076
1016778,0.728623914,499,8726
1017090,0.728594322,728,12730
1064386,0.728589965,578,10107
8898325,0.728476727,2929,51209
1035769,0.728443743,634,11084
8906255,0.728429027,1045,18269
1036231,0.728422619,1344,23496
1037259,0.728413655,3735,65295
1016647,0.728340595,2295,40117
8902017,0.728266982,1482,25903
1065147,0.728249476,636,11116
1097186,0.728114851,1129,19729
1036920,0.728111265,1441,25181
1036373,0.728095357,2003,35001
1064672,0.728078078,1665,29094
8904653,0.728077298,3079,53802
1088839,0.728063262,1586,27713
1018558,0.728019699,3215,56174
8102791,0.727968259,3077,53759
1017978,0.727935323,1675,29263
1064597,0.727807971,460,8035
8903053,0.727784909,2337,40820
8903055,0.727762259,2685,46897
8897252,0.727752921,1341,23422
1017744,0.727701823,1280,22355
1017224,0.727664818,1082,18896
8903003,0.727564103,1300,22700
8896766,0.727561682,1324,23119
1090604,0.727515938,732,12781
1095741,0.727511416,365,6373
8892055,0.727507046,2247,39233
1065156,0.727475071,468,8171
8901908,0.727357784,5344,93288
8102558,0.727296867,1883,32868
8104357,0.727210884,2205,38484
1036007,0.727193745,1151,20088
8902692,0.727175496,1831,31955
8903304,0.727139563,4409,76943
1036051,0.727054082,1282,22370
8102853,0.726874003,2926,51044
8895251,0.726732532,1746,30453
8622400,0.726720603,3739,65213
1036180,0.726718353,1838,32057
