LINK ID,CO2_Hour_0,CO2_Hour_1,CO2_Hour_2,CO2_Hour_3,CO2_Hour_4,CO2_Hour_5,CO2_Hour_6,CO2_Hour_7,CO2_Hour_8,CO2_Hour_9,CO2_Hour_10,CO2_Hour_11,CO2_Hour_12,CO2_Hour_13,CO2_Hour_14,CO2_Hour_15,CO2_Hour_16,CO2_Hour_17,CO2_Hour_18,CO2_Hour_19,CO2_Hour_20,CO2_Hour_21,CO2_Hour_22,CO2_Hour_23
8902491,53189.95875,48993.5123,29584.94747,31892.99302,37348.3734,63471.25255,106484.8287,139426.9333,127257.2386,127886.7056,137223.7989,147714.915,117080.8559,119703.635,126942.5051,137223.7989,147924.7373,145301.9583,129145.6395,118444.701,106799.5621,114562.9881,98616.49157,72073.96777
8902492,400.506206,746.2423325,191.6952781,123.2326788,290.9660471,896.860051,2485.192355,1502.754055,1495.907795,1177.556708,1252.865567,1146.748539,1235.749918,1033.78525,965.3226503,1122.786629,1280.250607,1862.182701,1749.219412,1341.866947,862.6287514,1663.641163,1153.594798,985.8614301
8902493,370.5130311,646.5074319,328.9248338,431.0049546,858.229164,797.7372405,2000.014219,3054.842134,3153.14151,2759.944007,2525.537804,2548.222275,2306.254582,2370.52725,2253.324149,2514.195568,2415.896193,2098.313595,2419.676938,2336.500543,1429.121692,1614.378207,1546.324793,688.0956293
8902496,26941.51663,14990.80497,16039.11301,21070.99161,23272.43849,71389.77753,90468.98386,141940.9086,166471.3168,125377.6416,115942.8692,95396.03165,89735.16823,103677.6652,102419.6955,108499.8821,126740.442,144456.8479,133135.1211,81243.87311,58495.58864,56189.31095,50842.93994,33755.51889
8902497,45085.00486,42524.39607,25148.83638,28898.29926,32190.51057,47005.46146,87883.75187,133700.3592,129950.8964,110471.9795,118062.3555,120074.2624,101601.299,107637.0197,114587.2436,124829.6788,133334.558,139827.5303,138181.4246,105533.6625,98674.88894,89895.65878,86694.89779,62460.56454
8902499,87081.51742,66174.28086,38170.09244,39512.759,67133.3284,137143.7995,274095.7894,482592.7265,477222.0602,426392.5401,361369.1163,352354.0694,329912.3567,348901.4982,351586.8313,348709.6887,370959.5918,379015.5912,389373.3047,308429.6916,238419.2206,228253.3166,161887.2262,104919.8018
8902506,28109.10735,16888.59948,15095.63173,11104.83253,13823.203,34066.3873,66397.64453,76287.886,94738.10255,94275.4012,90747.30336,92077.56976,83806.78303,86178.12748,86004.61447,92482.43345,100174.8435,106536.9871,101852.1359,87913.25756,73280.32719,49624.72039,53094.98055,26373.97727
8902507,43381.67193,26245.46056,17587.1643,17587.1643,25343.5547,50867.49058,104981.8423,173075.7348,175691.2618,159547.1469,140156.1708,144124.5566,140156.1708,136819.1192,138803.3121,136187.7851,146830.2742,137991.5968,144395.1284,105432.7952,88026.01206,90821.92023,67282.17725,51408.63409
8902508,541.3959588,581.7126791,670.985417,431.9648607,1030.956134,1229.65997,2272.135167,1883.366793,970.4810537,829.3725326,1079.912152,999.2787111,944.5631621,1085.671683,1013.67754,941.6833964,930.1643334,725.700966,812.0939382,921.5250362,970.4810537,803.4546409,1068.393089,734.3402632
8902509,692.2239162,672.7930694,298.7492691,517.3462953,446.9094757,641.2179434,845.2418345,1003.117465,1520.46376,1464.600075,1010.404032,774.805015,898.6766631,927.8229333,1280.007031,903.5343748,857.3861137,1061.410005,973.9711944,694.652772,704.3681954,845.2418345,1063.838861,510.0597277
