LINK ID,Final_CO2_Hour_0,Final_CO2_Hour_1,Final_CO2_Hour_2,Final_CO2_Hour_3,Final_CO2_Hour_4,Final_CO2_Hour_5,Final_CO2_Hour_6,Final_CO2_Hour_7,Final_CO2_Hour_8,Final_CO2_Hour_9,Final_CO2_Hour_10,Final_CO2_Hour_11,Final_CO2_Hour_12,Final_CO2_Hour_13,Final_CO2_Hour_14,Final_CO2_Hour_15,Final_CO2_Hour_16,Final_CO2_Hour_17,Final_CO2_Hour_18,Final_CO2_Hour_19,Final_CO2_Hour_20,Final_CO2_Hour_21,Final_CO2_Hour_22,Final_CO2_Hour_23
1041397,6279.710401615708,6944.863118673631,4536.0297523175195,3581.901617889791,5566.107715782678,10128.070801186634,15856.481638538142,28960.46666393097,38224.856372403054,30079.724540651303,24320.06242721293,24075.84544988518,22420.264807379674,24293.89614580866,25742.913288182142,26412.011732179635,29087.779585975757,29372.821768793365,30989.67716838206,29148.167997337423,23908.043092399217,18825.585929500085,16145.025390619732,12710.45062163069
1041399,249751.17003486055,180495.16862366511,126588.35412865694,123705.5505338956,132527.91997315217,229461.9300340187,395046.915695532,603076.2539475127,608845.8454386777,547574.4341549507,537988.0166925292,537241.020636994,532012.2631923265,533599.8444905814,501580.9554887932,535640.3716727518,535456.7850494485,595837.0571494666,527633.5987101259,453939.8083105558,399460.0511104803,358704.56530674413,326549.65383347584,281680.9987550926
1041401,7958.297858737676,5481.299811132115,3946.402217892105,3080.4531483515475,8049.731462925408,19009.057444758913,28514.072166056456,41517.95373946799,42671.16204649206,32055.918069344072,28567.356522492893,26246.286293998386,25982.19731143768,25983.491661858912,25376.585968588657,27712.26031342245,29394.55797535681,26438.849396803686,25166.4760763819,19629.88113523444,15052.95815289121,14851.23310576639,13891.757293139115,8804.671418792832
1041402,8554.146141892212,6427.696848241075,5279.423733649969,3823.611756961617,7453.462886936033,13424.091032673798,22563.580928263364,43594.8670997732,54177.45856892841,46324.18100178445,37239.935577998374,35715.773951378134,34381.39367778176,37476.19044664592,42597.50493469533,43883.50236608549,47319.45991443143,47255.20967588248,49000.237292772246,46819.95622297007,36352.74609137605,29101.81593179365,22729.028520881046,14773.26104143549
1041457,4274.636059261022,3701.228484702994,2889.6265788477654,2383.5671589490125,3498.3389608272973,6623.608225243466,12439.68855710772,24708.79919368563,33193.58301678923,26100.285228335866,22070.970941579064,20762.518502926334,19943.682886078503,21359.41365936867,24886.70839975705,25361.601115483547,27801.1565210345,28722.708214566148,29232.671286382105,26718.141109472934,20298.03046089295,17624.11061378201,11843.754735925202,8493.574039789097
1062568,204144.276148252,180141.71002153357,165099.5989056644,141492.91018507304,205984.50976733523,410736.06160714035,477225.74440503586,589370.2886456782,561787.9670427702,551792.0344694896,534872.916873957,560216.871459532,577731.3322859027,572540.8827182855,566865.6650057619,576692.1510090624,575580.6265682514,531288.3469169225,500188.75236706674,474230.7110044511,507101.1422347487,444947.03402128874,432785.60937132913,312570.8787178468
1062569,89678.2708238313,77970.94337143694,63725.792815965666,69442.36119391354,124057.41587143036,210061.15971916716,343736.6807258422,307939.28162170865,346137.0185623695,300460.108560041,315201.6367395912,307786.17794899934,315224.7763589652,317840.8366425502,314903.0281354584,312249.8037747267,307862.5808046402,310424.3410623908,282186.9652396885,262957.1141862607,242942.65153357096,234431.48444525123,197895.4738400878,135324.55875760733
1062576,113190.42594370645,100340.65665377183,78085.84513884057,87848.90008085758,130538.88032266087,317006.54845402157,625593.0784687949,727456.2067664736,787123.1257649986,746011.3248058853,748971.8986960225,735591.3671061168,680528.4342709125,659717.8746891157,688389.4191859962,722094.7268133963,851256.3336117148,929185.6008277965,956447.3702923877,739184.1782922114,446380.6966134359,391899.0664258124,337699.31297375495,229949.33297642504
1062706,105537.12713651589,76367.84457771134,56252.28372118741,42762.10729308667,53327.74691603263,101455.57395929503,162641.669466377,196398.08847183158,207645.81617641065,194056.36760438955,201559.04826516565,194226.6013426287,189437.2105568361,196806.11101456085,215213.52627316857,226648.2124329913,263999.1407168012,302371.96396038926,304501.443410286,273793.75738801033,234432.00389454476,217962.3428072649,206323.85300593296,156688.0443459086
1062707,1412.6664985146313,1030.1873337776735,1035.6831261149077,1408.1630260671427,936.1352381187561,1340.4118160652379,1766.4858072212442,2851.2595375886012,3151.474235263961,3327.3666720644082,3455.7160425417883,4419.264710790763,3089.6142023519287,2938.763220370662,2927.1929218990344,2993.655974399511,3329.9587668084887,2809.6258696953546,2671.5495762874125,2569.3545673148783,2551.280376875048,2354.7321747181722,2373.062941774773,2059.8849810716606
