5.5 LINK ID,ITS LINK ID,도로등급,도로명,권역,연장(km),차선수,0~1시,1~2시,2~3시,3~4시,4~5시,5~6시,6~7시,7~8시,8~9시,9~10시,10~11시,11~12시,12~13시,13~14시,14~15시,15~16시,16~17시,17~18시,18~19시,19~20시,20~21시,21~22시,22~23시,23~24시
8896333,"1,170,009,302,117,000,000,000,000,000,000,000,000,000",특별광역시도,디지털로,서울특별시 금천구,0.297,6,30,30,31,30,24,30,28,31,28,28,26,26,26,25,25,24,24,22,25,30,31,31,27,29
8896335,"1,170,008,602,117,000,000,000,000,000,000,000,000,000",특별광역시도,디지털로,서울특별시 금천구,0.297,6,31,33,35,35,31,33,27,17,12,12,12,15,18,14,14,14,13,11,11,17,20,22,19,19
8896503,"117,001,820,011,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",시군도,안양천로,서울특별시 금천구,0.592,6,58,58,59,57,55,56,47,38,35,34,38,39,40,39,39,38,34,30,28,33,43,46,50,54
8896506,"1,210,013,204,121,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,동작대로,서울특별시 동작구,0.956,4,43,45,47,48,39,48,29,16,13,18,20,21,20,20,19,16,16,11,11,13,25,25,25,33
8896507,1140053200,특별광역시도,도림천로,서울특별시 양천구,0.271,1,48,48,47,47,47,47,48,44,20,38,46,47,46,47,46,46,45,44,44,46,45,46,46,47
8896508,"10,200,523,001,020,000,000",특별광역시도,청파로,서울특별시 용산구,0.265,1,56,56,57,56,53,55,51,45,46,46,46,47,47,47,47,46,44,43,43,45,47,49,51,52
8896509,"111,000,920,211,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,진흥로,서울특별시 은평구,0.929,6,33,35,34,34,31,33,30,30,27,25,26,25,26,26,26,25,24,23,23,27,28,28,30,31
8896510,"111,000,910,511,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",특별광역시도,진흥로,서울특별시 은평구,0.929,6,38,38,40,39,37,37,36,34,33,33,30,32,31,30,30,29,27,26,26,31,33,34,35,37
8896749,"121,000,660,212,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",도시고속도로,분당내곡간고속화도로,서울특별시 서초구,4.514,3,91,92,92,90,87,89,85,82,77,77,75,76,78,78,77,76,74,73,70,73,79,81,82,87
8896764,"12,201,085,001,220,100,000",연결로,분당수서간고속화도로,서울특별시 강남구,0.63,1,62,63,63,64,61,63,58,53,45,49,50,52,53,52,52,52,54,55,53,53,53,55,55,58
